#potretbdg	lihat
@	di
7an	tujuan
ababil	abg labil
abdi	saya
abi	saya
abis	habis
acan	belum
acc	accord
achievment	penghargaan
ad	ada
adalh	adalah
adlah	adalah
adlh	adalah
admin	administrator
adoh	aduh
afaik	as far as i know
aha	tertawa
ahaha	haha
aing	saya
aj	saja
aja	saja
ajep-ajep	dunia gemerlap
ajib	asyik
ajj	saja
ak	saya
aka	dikenal juga sebagai
akang	kakak
akika	aku
akko	aku
akkoh	aku
akku	aku
akuwh	aku
akyu	aku
alay	norak
alhmdllah	alhamdulillah
aljasa	asal jadi saja
alow	halo
alus	bagus
ama	sama
ambilin	ambilkan
ambl	ambil
ameh	agar
ampir	hampir
ancur	hancur
and	dan
anjir	anjing
anjrit	anjing
ank	anak
anter	antar
antpni	antapani
anu	yang
ap	apa
ap2	apa-apa
apaan	apa
apartment	apartemen
apasih	apa sih
ape	apa
apes	sial
aplot	unggah
aps	apa
apva	apa
aq	saya
aqu	aku
aquwh	aku
ari	kalau
asa	rasa
asap	sesegera mungkin
asbun	asal bunyi
aseek	asyik
aseekk	asyik
asek	asyik
asekk	asyik
aseknya	asyiknya
asem	asam
asoy	asyik
aspal	asli tetapi palsu
astrojim	astagfirullahaladzim
astul	asal tulis
at	di
atanapi	atau
ath	kalau begitu
ati2	hati-hati
ato	atau
atuh	kalau begitu
au ah	tidak mau tahu
ava	avatar
awak	saya
award	penghargaan
aws	awas
ay	sayang
aya	ada
ayang	sayang
ayank	sayang
ayeuna	sekarang
ayok	ayo
b4	sebelum
back	kembali
bacot	banyak bicara
bade	akan
bakalan	akan
bales	balas
balihona	balihonya
bandes	bantuan desa
bangdes	pembangunan desa
bangedh	banget
bangkotan	tua
banpol	bantuan polisi
banpres	bantuan presiden
banpur	bantuan tempur
bansarkas	bantuan sarana kesehatan
bantosan	bantuan
bapa	bapak
bapa2	bapak-bapak
bapak2	bapak-bapak
baramaen	minta-minta
basbang	basi
baureksa	bahureksa
bazis	badan amal, zakat, infak, dan sedekah
bbk	babakan
bbrp	beberapa
bcanda	bercanda
bcoz	karena
bdg	bandung
beb	sayang
beca	becak
became	menjadi
because	karena
begajulan	nakal
begichu	begitu
begicu	begitu
begicyu	begitu
bejibun	banyak
bekas	harus
beliin	belikan
belom	belum
bencong	banci
bener	benar
benerin	benarkan
bentar	sebentar
ber2	berdua
ber3	bertiga
berdikari	berdiri di atas kaki sendiri
bere	beri
beresin	membereskan
bet	banget
bete	bosan
beti	beda tipis
beud	banget
beut	banget
bg	abang
bgd	banget
bgmn	bagaimana
bgs	bagus
bgt	banget
bhs	bahasa
bhubu	tidur
bijimane	bagaimana
bimbuluh	bimbingan dan penyuluhan
bintal	bimbingan mental
biofori	biopori
bip	bandung indah plaza
bisi	kalau-kalau
bkas	bekas
bkl	akan
bkn	bukan
bknnya	bukannya
bl	beli
blegug	bodoh
blg	bilang
blh	boleh
blk	balik
blkg	belakang
blm	belum
bln	bulan
blom	belum
bls	balas
blum	belum
bnchi	benci
bnci	benci
bngung	bingung
bnr	benar
bnran	yang benar
bnyk	banyak
bodor	lucu
bohay	badan aduhai
bokap	ayah
bokep	video porno
boker	buang air besar
bokin	pacar
bokis	bohong
bole	boleh
boljug	boleh juga
bolong	berlubang
bolot	bodoh
bonek	bocah nekat
bonyok	ayah ibu
boyeh	boleh
bpk	bapak
br	baru
brb	segera kembali
brg	bareng
briefing	pengarahan
brngkt	berangkat
bro	saudara laki-laki
brp	berapa
bru	baru
brur	saudara laki-laki
brwenang	berwenang
bs	bisa
bsa	bisa
bsen	bosan
bsk	besok
bsr	besar
bt	bosan sekali
bt	buat
btw	ngomong-ngomong
bu	ibu
bu_bu	tidur
buaya	tidak setia
bubarin	bubarkan
bubbu	tidur
buber	buka bersama
bubu	tidur
bujubune	luar biasa
bumil	ibu hamil
bunderan	bundaran
buser	buru sergap
bw	bawa
bwh	bawah
bwhn	bawahan
bwt	buat
by	oleh
byar	bayar
byk	banyak
byr	bayar
byrin	bayarkan
c8	chat
cabal	sabar
cabut	pergi
cadas	keren
caem	cakep
caem	tampan
cai	air
cakep	tampan
call	telepon
calo	makelar
cama-cama	sama-sama
can	bisa
cangcut	celana dalam
capcus	pergi
cape	capek
caper	cari perhatian
caur	jelek
ce	cewek
cek	periksa
cekak	tidak ada uang
cekal	cegah tangkal
cekidot	coba lihat
cemen	penakut
cemplungin	cemplungkan
cengengesan	tertawa
cengli	adil
ceper	pendek
cepet	cepat
ceu	kakak perempuan
cew	cewek
cewe	cewek
chuyunk	sayang
cibuk	sibuk
cilaka	celaka
cimeng	ganja
cin	cinta
cipika cipiki	cium pipi kanan cium pipi kiri
city	kota
ciye	cie
ciyh	sih
ciyus	serius
ckck	ck
ckepp	cakep
ckepp	tampan
ckp	cukup
ckp	tampan
ckp	cukup
clbk	cinta lama bersemi kembali
cmiiw	correct me if i'm wrong
cmn	hanya
cmpr	campur
cmpur	campur
cnenk	senang
cobi	coba
cong	banci
congor	mulut
conlok	cinta lokasi
cont	bersambung
cow	cowok
cowwyy	maaf
coz	karena
cp	siapa
cpa	siapa
cpe	capek
cpns	calon pegawai negera sipil
cppa	siapa
cppe	capek
cpt	cepat
cr	cara
cucok	cocok
cuek	tidak acuh
cuex	cuek
cuman	Cuma
cumi	Cuma miscall
cungkring	kurus tinggi
cups	culun
cupu	culun
curanmor	pencurian kendaraan bermotor
curas	pencurian dengan kekerasan
curcol	curahan hati colongan
curhat	curahan hati
cwek	cewek
cwok	cowok
cyin	cinta
cz	karena
d	di
daerh	daerah
dagh	sudah
dah	sudah
dalem	dalam
damang	sehat
damkar	pemadam kebakaran
dapet	dapat
dateng	datang
day	hari
de	adik
dech	deh
dek	adik
deket	dekat
demen	suka
dengerin	dengarkan
des	desember
deui	lagi
deyh	deh
dg	dengan
dgn	dengan
dh	deh
diancurin	dihancurkan
diantep	dibiarkan
dibalkot	di balai kota
dibdg	di bandung
dibelokan	dibelokkan
dibenerin	dibenarkan
dicek	diperiksa
didaerah	di daerah
digosipin	digosipkan
dijalan	di jalan
diknas	pendidikan nasional
dimaafin	dimaafkan
dimana	di mana
dimana2	dimana-mana
dimintak	diminta
dimna	di mana
dimna	dimana
dina	pada
dinten	hari
disdik	dinas pendidikan
disebelahnya	di sebelahnya
disekitar	di sekitar
disitu	di situ
diskitr	di sekitar
disono	di sana
distracip	dinas tata ruang dan cipta karya
diuber	dikejar
diwilayah	di wilayah
dket	dekat
dkit	sedikit
dkk	dan kawan-kawan
dkt	dekat
dl	dulu
dll	dan lain-lain
dlm	dalam
dlu	dulu
dmn	dimana
dngn	dengan
doang	saja
dodol	bodoh
doi	dia
doku	uang
don juan	playboy
dongs	dong
donk	dong
donlot	unduh
dpn	depan
dpt	dapat
dr	dari
dri	dari
drmana	darimana
drmn	darimana
drpd	daripada
drtd	dari tadi
dsb	dan sebagainya
dst	dan seterusnya
dstu	disitu
dtg	datang
dugem	dunia gemerlap
duh	aduh
duit	uang
duren	durian
dy	dia
ed	edisi
edan	gila
egp	emang gue pikirin
eike	aku
